,日期,时间,图片,天气,温度℃,湿度,风力,风级,降水量mm,体感温度℃,云量
39,2019-01-20,夜间,,局部多云,-2,21%,强风,6,0,-4,3%
40,2019-01-21,白天,,局部多云,7,13%,强风,6,0,2,6%
41,2019-01-21,夜间,,晴朗,1,16%,清风,5,0,0,-
42,2019-01-22,白天,,局部多云,8,14%,强风,6,0,3,6%
43,2019-01-22,夜间,,局部多云,3,21%,清风,5,0,2,1%
44,2019-01-23,白天,,局部多云,8,35%,强风,6,0,3,-
45,2019-01-23,夜间,,多云,0,73%,强风,6,0,-1,12%
46,2019-01-24,白天,,阴天,7,56%,清风,5,0,2,69%
47,2019-01-24,夜间,,阴天,-1,35%,强风,6,0,-3,26%
48,2019-01-25,白天,,局部多云,4,17%,劲风,7,0,-1,2%
49,2019-01-25,夜间,,局部多云,-2,19%,清风,5,0,-2,3%
50,2019-01-26,白天,,局部多云,5,16%,和风,4,0,2,6%
51,2019-01-26,夜间,,阴天,-1,20%,强风,6,0,-2,32%
52,2019-01-27,白天,,阴天,7,18%,强风,6,0,1,37%
53,2019-01-27,夜间,,局部多云,0,13%,大风,8,0,-3,4%
54,2019-01-28,白天,,局部多云,7,12%,清风,5,0,3,12%
55,2019-01-28,夜间,,阴天,0,18%,清风,5,0,-1,49%
56,2019-01-29,白天,,局部多云,9,19%,清风,5,0,4,22%
57,2019-01-29,夜间,,局部多云,1,27%,和风,4,0,2,31%
58,2019-01-30,白天,,阴天,5,17%,大风,8,0,-1,75%
59,2019-01-30,夜间,,局部多云,-2,10%,强风,6,0,-5,23%
60,2019-01-31,白天,,阴天,1,7%,强风,6,0,-3,66%
61,2019-01-31,夜间,,局部多云,-5,21%,强风,6,0,-6,2%
0,2019-02-01,白天,,晴朗,8,19%,强风,6,0,1,-
1,2019-02-01,夜间,,多云,0,48%,清风,5,0,0,40%
2,2019-02-02,白天,,多云,10,52%,和风,4,0,6,23%
3,2019-02-02,夜间,,多云,1,52%,强风,6,0,0,59%
4,2019-02-03,白天,,多云,8,15%,烈风,9,0,3,34%
5,2019-02-03,夜间,,局部多云,0,42%,强风,6,0,-2,1%
6,2019-02-04,白天,,局部多云,9,29%,清风,5,0,3,7%
7,2019-02-04,夜间,,局部多云,-1,43%,强风,6,0,-1,6%
8,2019-02-05,白天,,局部多云,2,46%,大风,8,0,-4,5%
9,2019-02-05,夜间,,局部多云,-4,49%,劲风,7,0,-8,24%
10,2019-02-06,白天,,局部多云,1,23%,劲风,7,0,-6,6%
11,2019-02-06,夜间,,局部多云,-5,29%,清风,5,0,-8,25%
12,2019-02-07,白天,,局部多云,-2,14%,和风,4,0,-5,30%
13,2019-02-07,夜间,,阴天,-8,18%,和风,4,0,-7,45%
14,2019-02-08,白天,,阴天,0,23%,清风,5,0,-4,58%
15,2019-02-08,夜间,,局部多云,-4,41%,和风,4,0,-5,8%
16,2019-02-09,白天,,局部多云,2,19%,和风,4,0,-2,10%
17,2019-02-09,夜间,,局部多云,-3,25%,微风,3,0,-4,30%
18,2019-02-10,白天,,阴天,3,25%,和风,4,0,-1,34%
19,2019-02-10,夜间,,阴天,-3,39%,清风,5,0,-5,29%
20,2019-02-11,白天,,局部多云,4,32%,强风,6,0,-1,9%
21,2019-02-11,夜间,,局部多云,-4,43%,劲风,7,0,-7,17%
22,2019-02-12,白天,,阴天,0,48%,大风,8,0,-7,62%
23,2019-02-12,夜间,,局部多云,-5,67%,强风,6,0,-8,19%
24,2019-02-13,白天,,局部多云,1,41%,强风,6,0,-5,26%
25,2019-02-13,夜间,,阴天,-3,49%,清风,5,0,-6,62%
26,2019-02-14,白天,,大雪,-1,57%,强风,6,1.8,-6,100%
27,2019-02-14,夜间,,大雪,-8,69%,强风,6,2.4,-8,62%
28,2019-02-15,白天,,局部多云,1,25%,狂风,10,0,-6,1%
29,2019-02-15,夜间,,局部多云,-6,37%,大风,8,0,-10,-
30,2019-02-16,白天,,局部多云,1,24%,大风,8,0,-6,3%
31,2019-02-16,夜间,,局部多云,-4,31%,强风,6,0,-7,7%
32,2019-02-17,白天,,局部多云,5,19%,强风,6,0,-1,9%
33,2019-02-17,夜间,,阴天,-1,23%,和风,4,0,-2,67%
34,2019-02-18,白天,,阴天,8,24%,清风,5,0,3,80%
35,2019-02-18,夜间,,零星中雪,0,43%,清风,5,0.6,-1,86%
36,2019-02-19,白天,,零星中雪,9,43%,强风,6,0.2,4,25%
37,2019-02-19,夜间,,晴朗,1,41%,清风,5,0,1,-
38,2019-02-20,白天,,晴朗,11,17%,清风,5,0,7,-
39,2019-02-20,夜间,,晴朗,3,25%,微风,3,0,5,-
40,2019-02-21,白天,,多云,13,25%,和风,4,0,9,18%
41,2019-02-21,夜间,,阴天,3,32%,和风,4,0,4,73%
42,2019-02-22,白天,,局部多云,12,23%,和风,4,0,9,21%
43,2019-02-22,夜间,,阴天,5,27%,微风,3,0,5,73%
44,2019-02-23,白天,,局部多云,15,18%,和风,4,0,12,6%
45,2019-02-23,夜间,,阴天,5,24%,清风,5,0,6,33%
46,2019-02-24,白天,,阴天,14,20%,清风,5,0,11,21%
47,2019-02-24,夜间,,多云,4,39%,清风,5,0,4,52%
48,2019-02-25,白天,,多云,8,28%,强风,6,0,4,40%
49,2019-02-25,夜间,,阴天,3,38%,清风,5,0,2,31%
50,2019-02-26,白天,,阴天,10,28%,劲风,7,0,5,70%
51,2019-02-26,夜间,,多云,2,46%,清风,5,0,2,56%
52,2019-02-27,白天,,局部多云,14,29%,和风,4,0,10,10%
53,2019-02-27,夜间,,多云,5,33%,微风,3,0,8,48%
54,2019-02-28,白天,,局部多云,16,28%,和风,4,0,13,5%
55,2019-02-28,夜间,,局部多云,8,40%,和风,4,0,9,5%
0,2019-03-01,白天,,局部多云,17,30%,微风,3,0,14,8%
1,2019-03-01,夜间,,阴天,8,41%,清风,5,0,9,13%
2,2019-03-02,白天,,阴天,17,26%,强风,6,0,14,79%
3,2019-03-02,夜间,,阴天,9,34%,清风,5,0,10,30%
4,2019-03-03,白天,,局部多云,16,32%,劲风,7,0,14,11%
5,2019-03-03,夜间,,局部多云,8,46%,强风,6,0,9,5%
6,2019-03-04,白天,,局部多云,18,30%,和风,4,0,15,10%
7,2019-03-04,夜间,,多云,8,47%,清风,5,0,9,38%
8,2019-03-05,白天,,周边零星小雨,19,42%,和风,4,0.6,13,44%
9,2019-03-05,夜间,,局部多云,8,30%,劲风,7,0,9,3%
10,2019-03-06,白天,,局部多云,10,27%,大风,8,0,7,24%
11,2019-03-06,夜间,,局部多云,2,39%,清风,5,0,4,2%
12,2019-03-07,白天,,局部多云,14,15%,强风,6,0,10,1%
13,2019-03-07,夜间,,局部多云,7,22%,强风,6,0,8,1%
14,2019-03-08,白天,,阴天,15,18%,劲风,7,0,12,61%
15,2019-03-08,夜间,,阴天,9,22%,清风,5,0,9,96%
16,2019-03-09,白天,,阴天,15,24%,清风,5,0,12,65%
17,2019-03-09,夜间,,局部多云,7,38%,和风,4,0,8,37%
18,2019-03-10,白天,,阴天,12,36%,强风,6,0,8,33%
19,2019-03-10,夜间,,阴天,7,50%,清风,5,0,6,45%
20,2019-03-11,白天,,局部多云,15,16%,狂风,10,0,12,5%
21,2019-03-11,夜间,,局部多云,4,19%,烈风,9,0,4,7%
22,2019-03-12,白天,,局部多云,11,9%,烈风,9,0,6,1%
23,2019-03-12,夜间,,局部多云,3,12%,强风,6,0,4,4%
24,2019-03-13,白天,,局部多云,14,14%,劲风,7,0,10,6%
25,2019-03-13,夜间,,局部多云,7,21%,强风,6,0,8,12%
26,2019-03-14,白天,,局部多云,15,14%,大风,8,0,11,18%
27,2019-03-14,夜间,,局部多云,6,20%,烈风,9,0,6,4%
28,2019-03-15,白天,,局部多云,13,13%,大风,8,0,8,5%
29,2019-03-15,夜间,,局部多云,7,18%,强风,6,0,7,5%
30,2019-03-16,白天,,局部多云,19,15%,劲风,7,0,16,7%
31,2019-03-16,夜间,,局部多云,9,24%,清风,5,0,11,5%
32,2019-03-17,白天,,局部多云,17,20%,强风,6,0,15,13%
33,2019-03-17,夜间,,阴天,13,29%,劲风,7,0,13,31%
34,2019-03-18,白天,,局部多云,24,23%,劲风,7,0,21,44%
35,2019-03-18,夜间,,晴朗,15,38%,劲风,7,0,17,-
36,2019-03-19,白天,,多云,26,22%,大风,8,0,22,29%
37,2019-03-19,夜间,,周边零星小雨,16,40%,劲风,7,0.3,19,73%
38,2019-03-20,白天,,小阵雨,17,60%,劲风,7,1.5,15,79%
39,2019-03-20,夜间,,有时中雨,7,45%,烈风,9,3.8,6,45%
40,2019-03-21,白天,,局部多云,12,14%,烈风,9,0,8,4%
41,2019-03-21,夜间,,局部多云,5,21%,清风,5,0,7,11%
42,2019-03-22,白天,,局部多云,13,15%,劲风,7,0,10,11%
43,2019-03-22,夜间,,局部多云,5,20%,烈风,9,0,5,11%
44,2019-03-23,白天,,晴朗,13,12%,劲风,7,0,8,-
45,2019-03-23,夜间,,晴朗,6,13%,劲风,7,0,5,-
46,2019-03-24,白天,,晴朗,19,12%,大风,8,0,15,-
47,2019-03-24,夜间,,晴朗,12,18%,劲风,7,0,13,-
48,2019-03-25,白天,,晴朗,21,10%,大风,8,0,19,-
49,2019-03-25,夜间,,局部多云,10,22%,劲风,7,0,13,3%
50,2019-03-26,白天,,多云,15,33%,大风,8,0,12,28%
51,2019-03-26,夜间,,局部多云,10,50%,清风,5,0,10,8%
52,2019-03-27,白天,,多云,19,25%,大风,8,0,14,27%
53,2019-03-27,夜间,,局部多云,6,31%,大风,8,0,4,24%
54,2019-03-28,白天,,阴天,8,32%,劲风,7,0,5,55%
55,2019-03-28,夜间,,多云,4,50%,和风,4,0,5,30%
56,2019-03-29,白天,,局部多云,14,30%,清风,5,0,11,24%
57,2019-03-29,夜间,,局部多云,5,22%,狂风,10,0,3,3%
58,2019-03-30,白天,,局部多云,11,12%,暴风,11,0,5,14%
59,2019-03-30,夜间,,局部多云,5,16%,强风,6,0,4,6%
60,2019-03-31,白天,,局部多云,14,12%,大风,8,0,10,12%
61,2019-03-31,夜间,,局部多云,8,17%,强风,6,0,9,38%
0,2019-04-01,白天,,局部多云,17,15%,清风,5,0,14,10%
1,2019-04-01,夜间,,局部多云,9,22%,强风,6,0,9,17%
2,2019-04-02,白天,,局部多云,18,19%,劲风,7,0,15,1%
3,2019-04-02,夜间,,晴朗,10,33%,清风,5,0,12,-
4,2019-04-03,白天,,晴朗,22,15%,劲风,7,0,18,-
5,2019-04-03,夜间,,局部多云,13,25%,劲风,7,0,14,-
6,2019-04-04,白天,,局部多云,29,18%,烈风,9,0,23,-
7,2019-04-04,夜间,,局部多云,14,17%,大风,8,0,19,9%
8,2019-04-05,白天,,局部多云,15,20%,狂风,10,0,12,22%
9,2019-04-05,夜间,,局部多云,5,28%,狂风,10,0,7,28%
10,2019-04-06,白天,,多云,18,31%,大风,8,0,14,28%
11,2019-04-06,夜间,,阴天,9,42%,劲风,7,0,9,34%
12,2019-04-07,白天,,局部多云,15,30%,大风,8,0,12,14%
13,2019-04-07,夜间,,局部多云,8,31%,大风,8,0,7,9%
14,2019-04-08,白天,,局部多云,15,18%,狂风,10,0,11,15%
15,2019-04-08,夜间,,零星小雨,8,27%,劲风,7,2.4,8,68%
16,2019-04-09,白天,,小雨,11,43%,劲风,7,4.8,7,79%
17,2019-04-09,夜间,,局部多云,7,47%,清风,5,0,7,25%
18,2019-04-10,白天,,多云,19,26%,清风,5,0,16,22%
19,2019-04-10,夜间,,阴天,12,31%,清风,5,0,13,72%
20,2019-04-11,白天,,局部多云,18,28%,强风,6,0,16,23%
21,2019-04-11,夜间,,局部多云,11,42%,劲风,7,0,11,4%
22,2019-04-12,白天,,局部多云,22,20%,烈风,9,0,20,18%
23,2019-04-12,夜间,,局部多云,14,46%,劲风,7,0,15,24%
24,2019-04-13,白天,,周边零星小雨,21,39%,强风,6,0.4,19,48%
25,2019-04-13,夜间,,有时大雨,11,24%,劲风,7,5.4,13,39%
26,2019-04-14,白天,,晴朗,22,11%,劲风,7,0,20,-
27,2019-04-14,夜间,,局部多云,14,19%,大风,8,0,16,1%
28,2019-04-15,白天,,局部多云,27,13%,烈风,9,0,23,10%
29,2019-04-15,夜间,,中雨,15,36%,大风,8,3.5,19,41%
30,2019-04-16,白天,,中雨,23,45%,强风,6,11.8,21,53%
31,2019-04-16,夜间,,局部多云,17,49%,劲风,7,0,18,5%
32,2019-04-17,白天,,局部多云,32,24%,狂风,10,0,27,5%
33,2019-04-17,夜间,,局部多云,18,28%,烈风,9,0,23,27%
34,2019-04-18,白天,,局部多云,20,19%,狂风,10,0,18,9%
35,2019-04-18,夜间,,多云,12,25%,强风,6,0,12,26%
36,2019-04-19,白天,,局部多云,18,15%,劲风,7,0,16,14%
37,2019-04-19,夜间,,周边零星小雨,13,25%,清风,5,0.1,13,75%
38,2019-04-20,白天,,小雨,14,47%,清风,5,6.8,12,75%
39,2019-04-20,夜间,,局部多云,2,57%,和风,4,0,9,23%
40,2019-04-21,白天,,局部多云,19,39%,劲风,7,0,17,3%
41,2019-04-21,夜间,,晴朗,14,67%,清风,5,0,15,-
42,2019-04-22,白天,,局部多云,27,43%,劲风,7,0,24,8%
43,2019-04-22,夜间,,局部多云,19,62%,强风,6,0,22,8%
44,2019-04-23,白天,,局部多云,27,53%,劲风,7,0,25,6%
45,2019-04-23,夜间,,阴天,16,74%,强风,6,0,18,30%
46,2019-04-24,白天,,周边零星小雨,19,45%,烈风,9,0.3,15,96%
47,2019-04-24,夜间,,大雨,7,68%,烈风,9,87.7,6,90%
48,2019-04-25,白天,,零星细雨,19,29%,强风,6,0.6,15,16%
49,2019-04-25,夜间,,细雨,10,51%,劲风,7,0.9,11,48%
50,2019-04-26,白天,,零星细雨,21,32%,清风,5,0.6,18,18%
51,2019-04-26,夜间,,多云,14,41%,强风,6,0,15,31%
52,2019-04-27,白天,,周边零星小雨,15,46%,强风,6,0.3,14,75%
53,2019-04-27,夜间,,局部多云,10,64%,清风,5,0,10,17%
54,2019-04-28,白天,,局部多云,21,41%,劲风,7,0,17,10%
55,2019-04-28,夜间,,局部多云,14,50%,清风,5,0,16,16%
56,2019-04-29,白天,,局部多云,26,34%,劲风,7,0,23,5%
57,2019-04-29,夜间,,多云,17,39%,劲风,7,0,20,17%
58,2019-04-30,白天,,局部多云,24,25%,狂风,10,0,23,15%
59,2019-04-30,夜间,,局部多云,16,25%,强风,6,0,19,2%
0,2019-05-01,白天,,晴朗,31,12%,清风,5,0,26,-
1,2019-05-01,夜间,,晴朗,19,16%,劲风,7,0,24,-
2,2019-05-02,白天,,晴朗,31,9%,劲风,7,0,27,-
3,2019-05-02,夜间,,局部多云,19,14%,强风,6,0,22,12%
4,2019-05-03,白天,,局部多云,31,12%,劲风,7,0,27,27%
5,2019-05-03,夜间,,阴天,22,23%,劲风,7,0,24,79%
6,2019-05-04,白天,,多云,30,16%,大风,8,0,26,45%
7,2019-05-04,夜间,,局部多云,19,35%,烈风,9,0,22,13%
8,2019-05-05,白天,,局部多云,23,16%,烈风,9,0,21,2%
9,2019-05-05,夜间,,局部多云,15,26%,和风,4,0,18,1%
10,2019-05-06,白天,,局部多云,25,11%,强风,6,0,22,3%
11,2019-05-06,夜间,,局部多云,17,19%,劲风,7,0,19,7%
12,2019-05-07,白天,,局部多云,29,11%,劲风,7,0,25,1%
13,2019-05-07,夜间,,多云,20,18%,劲风,7,0,22,37%
14,2019-05-08,白天,,多云,28,17%,强风,6,0,25,61%
15,2019-05-08,夜间,,局部多云,19,24%,劲风,7,0,22,22%
16,2019-05-09,白天,,局部多云,29,21%,大风,8,0,25,16%
17,2019-05-09,夜间,,中到大雷雨,18,53%,强风,6,25.1,20,78%
18,2019-05-10,白天,,周边零星小雨,28,42%,清风,5,3.4,26,27%
19,2019-05-10,夜间,,周边零星小雨,20,43%,强风,6,0.2,23,25%
20,2019-05-11,白天,,周边零星小雨,31,34%,劲风,7,0.2,27,19%
21,2019-05-11,夜间,,局部多云,18,57%,强风,6,0,20,9%
22,2019-05-12,白天,,周边零星小雨,25,43%,劲风,7,6,24,60%
23,2019-05-12,夜间,,周边零星小雨,15,21%,烈风,9,3.8,18,40%
24,2019-05-13,白天,,局部多云,27,12%,大风,8,0,23,1%
25,2019-05-13,夜间,,局部多云,20,14%,劲风,7,0,21,1%
26,2019-05-14,白天,,多云,31,17%,强风,6,0,26,35%
27,2019-05-14,夜间,,多云,21,29%,劲风,7,0,24,38%
28,2019-05-15,白天,,局部多云,35,24%,烈风,9,0,31,8%
29,2019-05-15,夜间,,有时中雨,23,25%,劲风,7,3,26,43%
30,2019-05-16,白天,,多云,33,11%,劲风,7,0,29,46%
31,2019-05-16,夜间,,多云,25,42%,劲风,7,0,27,32%
32,2019-05-17,白天,,局部多云,35,35%,大风,8,0,31,10%
33,2019-05-17,夜间,,周边零星小雨,20,64%,大风,8,0.9,23,27%
34,2019-05-18,白天,,局部多云,28,45%,烈风,9,0,25,6%
35,2019-05-18,夜间,,局部多云,18,63%,劲风,7,0,19,17%
36,2019-05-19,白天,,局部多云,27,28%,狂风,10,0,24,18%
37,2019-05-19,夜间,,局部多云,16,23%,暴风,11,0,17,4%
38,2019-05-20,白天,,局部多云,27,16%,暴风,11,0,23,3%
39,2019-05-20,夜间,,晴朗,19,19%,劲风,7,0,21,-
40,2019-05-21,白天,,局部多云,31,11%,烈风,9,0,26,1%
41,2019-05-21,夜间,,局部多云,21,19%,清风,5,0,23,15%
42,2019-05-22,白天,,局部多云,37,11%,劲风,7,0,32,2%
43,2019-05-22,夜间,,局部多云,24,14%,强风,6,0,27,4%
44,2019-05-23,白天,,晴朗,43,11%,清风,5,0,39,-
45,2019-05-23,夜间,,多云,27,13%,劲风,7,0,32,25%
46,2019-05-24,白天,,多云,40,9%,狂风,10,0,37,58%
47,2019-05-24,夜间,,多云,28,19%,劲风,7,0,29,32%
48,2019-05-25,白天,,局部多云,37,23%,大风,8,0,33,19%
49,2019-05-25,夜间,,中到大阵雨,25,52%,强风,6,26.5,29,62%
50,2019-05-26,白天,,暴阵雨,26,70%,大风,8,78.8,23,79%
51,2019-05-26,夜间,,零星小雨,17,65%,劲风,7,9.5,19,42%
52,2019-05-27,白天,,局部多云,28,23%,烈风,9,0,25,2%
53,2019-05-27,夜间,,局部多云,20,24%,强风,6,0,23,6%
54,2019-05-28,白天,,局部多云,33,13%,劲风,7,0,29,7%
55,2019-05-28,夜间,,多云,22,20%,强风,6,0,25,26%
56,2019-05-29,白天,,局部多云,36,15%,强风,6,0,32,8%
57,2019-05-29,夜间,,多云,26,16%,烈风,9,0,27,17%
58,2019-05-30,白天,,多云,32,19%,劲风,7,0,27,33%
59,2019-05-30,夜间,,局部多云,21,18%,劲风,7,0,23,1%
60,2019-05-31,白天,,局部多云,32,11%,劲风,7,0,27,5%
61,2019-05-31,夜间,,多云,23,12%,劲风,7,0,25,24%
0,2019-06-01,白天,,局部多云,36,14%,强风,6,0,31,21%
1,2019-06-01,夜间,,周边雷暴,21,48%,清风,5,0.4,26,40%
2,2019-06-02,白天,,局部多云,39,26%,和风,4,0,34,10%
3,2019-06-02,夜间,,局部多云,23,39%,劲风,7,0,29,14%
4,2019-06-03,白天,,局部多云,37,14%,大风,8,0,32,1%
5,2019-06-03,夜间,,周边雷暴,24,27%,强风,6,0,30,6%
6,2019-06-04,白天,,周边雷暴,30,43%,劲风,7,0,29,34%
7,2019-06-04,夜间,,周边零星小雨,21,60%,强风,6,0.6,23,27%
8,2019-06-05,白天,,周边零星小雨,28,47%,强风,6,0.3,27,27%
9,2019-06-05,夜间,,局部多云,22,66%,和风,4,0,25,19%
10,2019-06-06,白天,,局部多云,29,47%,强风,6,0,28,36%
11,2019-06-06,夜间,,局部多云,22,58%,强风,6,0,25,11%
12,2019-06-07,白天,,零星雷雨,34,38%,大风,8,1.1,32,17%
13,2019-06-07,夜间,,零星雷雨,23,53%,清风,5,13.9,27,53%
14,2019-06-08,白天,,局部多云,36,17%,大风,8,0,32,1%
15,2019-06-08,夜间,,局部多云,23,34%,大风,8,0,28,12%
16,2019-06-09,白天,,局部多云,30,32%,烈风,9,0,28,12%
17,2019-06-09,夜间,,局部多云,23,42%,和风,4,0,26,11%
18,2019-06-10,白天,,局部多云,33,30%,强风,6,0,30,12%
19,2019-06-10,夜间,,局部多云,22,52%,强风,6,0,26,10%
20,2019-06-11,白天,,局部多云,32,37%,劲风,7,0,29,3%
21,2019-06-11,夜间,,局部多云,21,51%,劲风,7,0,25,7%
22,2019-06-12,白天,,局部多云,35,35%,强风,6,0,31,24%
23,2019-06-12,夜间,,局部多云,26,32%,强风,6,0,29,22%
24,2019-06-13,白天,,中到大雷雨,35,31%,强风,6,10.9,33,36%
25,2019-06-13,夜间,,中到大雷雨,22,71%,劲风,7,47.6,29,30%
26,2019-06-14,白天,,局部多云,35,27%,强风,6,0,31,3%
27,2019-06-14,夜间,,局部多云,22,44%,强风,6,0,27,3%
28,2019-06-15,白天,,局部多云,31,30%,劲风,7,0,28,6%
29,2019-06-15,夜间,,多云,20,49%,大风,8,0,23,40%
30,2019-06-16,白天,,小雨,26,50%,强风,6,7.5,23,50%
31,2019-06-16,夜间,,局部多云,19,60%,清风,5,0,21,13%
32,2019-06-17,白天,,局部多云,31,39%,强风,6,0,29,5%
33,2019-06-17,夜间,,局部多云,24,59%,清风,5,0,27,12%
34,2019-06-18,白天,,周边零星小雨,38,36%,清风,5,0.6,35,28%
35,2019-06-18,夜间,,周边零星小雨,21,72%,劲风,7,2.4,27,51%
36,2019-06-19,白天,,周边零星小雨,30,55%,大风,8,0.3,29,24%
37,2019-06-19,夜间,,局部多云,23,70%,强风,6,0,26,8%
38,2019-06-20,白天,,局部多云,37,37%,清风,5,0,34,9%
39,2019-06-20,夜间,,局部多云,24,54%,劲风,7,0,30,10%
40,2019-06-21,白天,,局部多云,31,32%,烈风,9,0,29,8%
41,2019-06-21,夜间,,局部多云,23,45%,清风,5,0,25,18%
42,2019-06-22,白天,,局部多云,36,24%,强风,6,0,32,11%
43,2019-06-22,夜间,,局部多云,26,37%,强风,6,0,28,10%
44,2019-06-23,白天,,局部多云,36,26%,劲风,7,0,32,5%
45,2019-06-23,夜间,,局部多云,27,40%,清风,5,0,28,11%
46,2019-06-24,白天,,局部多云,39,22%,劲风,7,0,36,10%
47,2019-06-24,夜间,,局部多云,28,30%,大风,8,0,31,9%
48,2019-06-25,白天,,局部多云,38,24%,大风,8,0,35,15%
49,2019-06-25,夜间,,局部多云,25,44%,大风,8,0,28,7%
50,2019-06-26,白天,,局部多云,34,35%,劲风,7,0,32,6%
51,2019-06-26,夜间,,局部多云,25,49%,清风,5,0,27,9%
52,2019-06-27,白天,,局部多云,37,25%,强风,6,0,34,32%
53,2019-06-27,夜间,,局部多云,28,34%,清风,5,0,30,45%
54,2019-06-28,白天,,局部多云,34,40%,强风,6,0,31,27%
55,2019-06-28,夜间,,局部多云,25,63%,劲风,7,0,28,6%
56,2019-06-29,白天,,局部多云,36,28%,劲风,7,0,34,15%
57,2019-06-29,夜间,,局部多云,23,39%,劲风,7,0,27,7%
58,2019-06-30,白天,,局部多云,33,39%,劲风,7,0,29,31%
59,2019-06-30,夜间,,局部多云,22,61%,清风,5,0,26,5%
0,2019-07-01,白天,,局部多云,38,22%,清风,5,0,33,6%
1,2019-07-01,夜间,,局部多云,27,28%,清风,5,0,31,19%
2,2019-07-02,白天,,周边零星小雨,36,26%,劲风,7,1.8,32,49%
3,2019-07-02,夜间,,周边零星小雨,22,61%,清风,5,1.2,28,22%
4,2019-07-03,白天,,局部多云,39,27%,清风,5,0,35,4%
5,2019-07-03,夜间,,局部多云,27,35%,强风,6,0,31,5%
6,2019-07-04,白天,,局部多云,40,20%,大风,8,0,38,5%
7,2019-07-04,夜间,,周边零星小雨,29,33%,大风,8,0.7,32,31%
8,2019-07-05,白天,,有时大雨,39,28%,强风,6,19.2,36,82%
9,2019-07-05,夜间,,暴阵雨,22,76%,劲风,7,66.1,29,82%
10,2019-07-06,白天,,暴阵雨,25,76%,清风,5,97.5,26,84%
11,2019-07-06,夜间,,暴阵雨,18,86%,强风,6,61.2,21,87%
12,2019-07-07,白天,,小阵雨,28,57%,劲风,7,5.1,27,80%
13,2019-07-07,夜间,,周边零星小雨,22,70%,和风,4,0.4,25,29%
14,2019-07-08,白天,,局部多云,34,39%,和风,4,0,32,16%
15,2019-07-08,夜间,,局部多云,26,51%,和风,4,0,28,19%
16,2019-07-09,白天,,周边零星小雨,30,47%,清风,5,0.3,30,49%
17,2019-07-09,夜间,,中到大阵雨,22,75%,清风,5,23.4,25,73%
18,2019-07-10,白天,,小阵雨,28,55%,大风,8,8.9,27,57%
19,2019-07-10,夜间,,局部多云,21,76%,清风,5,0,23,17%
20,2019-07-11,白天,,局部多云,32,42%,清风,5,0,30,17%
